[0.0023315878435706565, -0.0017381072904508073]
[0.0023377798614861683, -0.0017330971183070578]
[0.002343971463729422, -0.0017280891995177107]
[0.002350162649439352, -0.0017230835342091752]
[0.0023563534177550548, -0.001718080122507324]
[0.0023625437678157922, -0.001713078964537497]
[0.002368733698760984, -0.001708080060424494]
[0.0023749232097302216, -0.0017030834102925853]
[0.0023811122998632526, -0.0016980890142655014]
[0.002387300968299991, -0.0016930968724664396]
[0.002393489214180517, -0.0016881069850180619]
[0.002399677036645076, -0.0016831193520424935]
[0.002405864434834075, -0.0016781339736613265]
[0.0024120514078880915, -0.0016731508499956147]
[0.0024182379549478627, -0.0016681699811658785]
[0.0024244240751542965, -0.0016631913672921028]
[0.002430609767648468, -0.0016582150084937372]
[0.0024367950315716154, -0.0016532409048896956]
[0.002442979866065146, -0.0016482690565983562]
[0.002449164270270635, -0.0016432994637375626]
[0.002455348243329825, -0.0016383321264246224]
[0.0024615317843846283, -0.0016333670447763087]
[0.002467714892577121, -0.0016284042189088585]
[0.0024738975670495532, -0.0016234436489379728]
[0.0024800798069443434, -0.0016184853349788197]
[0.0024862616114040763, -0.0016135292771460284]
[0.0024924429795715086, -0.001608575475553695]
[0.002498623910589569, -0.0016036239303153814]
[0.002504804403601353, -0.0015986746415441117]
[0.00251055295926875, -0.0015905592973774305]
[0.0025163011587010613, -0.0015824484821393317]
[0.0025220490011655114, -0.0015743421966464741]
[0.002527796485929476, -0.0015662404417134137]
[0.0025335436122604707, -0.0015581432181525996]
[0.002539290379426155, -0.0015500505267743762]
[0.0025450367866943387, -0.0015419623683869828]
[0.0025507828333329713, -0.0015338787437965485]
[0.0025565285186101533, -0.0015257996538070979]
[0.0025622738417941287, -0.0015177250992205469]
[0.002568018802153288, -0.0015096550808367036]
[0.002573763398956168, -0.001501589599453266]
[0.0025795076314714545, -0.0014935286558658237]
[0.0025817329495979877, -0.0014847727310624112]
[0.0025839581861557053, -0.0014760207141383047]
[0.0025861833410720505, -0.0014672726061004107]
[0.0025884084142744914, -0.0014585284079540626]
[0.002590633405690541, -0.0014497881207030246]
[0.002592858315247738, -0.001441051745349488]
[0.002595083142873666, -0.0014323192828940702]
[0.002597307888495937, -0.001423590734335817]
[0.0025995325520421966, -0.0014148661006721979]
[0.0026017571334401315, -0.0014061453828991103]
[0.0026039816326174597, -0.0013974285820108753]
[0.0026062060495019345, -0.0013887156990002362]
[0.0026084303840213444, -0.0013800067348583626]
[0.0026106546361035123, -0.001371301690574844]
[0.002612878805676298, -0.0013626005671376954]
[0.002615102892667594, -0.0013539033655333493]
[0.0026173268970053312, -0.0013452100867466627]
[0.002619550818617473, -0.0013365207317609102]
[0.002621774657432017, -0.001327835301557788]
[0.0026239984133770004, -0.0013191537971174094]
[0.00262622208638049, -0.0013104762194183067]
[0.0026284456763705916, -0.0013018025694374311]
[0.0026306691832754456, -0.0012931328481501489]
[0.0026328926070232263, -0.0012844670565302443]
[0.0026351159475421454, -0.0012758051955499175]
[0.0026373392047604476, -0.0012671472661797828]
[0.0026395623786064134, -0.0012584932693888694]
[0.0026417854690083606, -0.0012498432061446212]
[0.002644008475894641, -0.0012411970774128952]
[0.0026462313991936384, -0.0012325548841579605]
[0.0026484542388337776, -0.001223916627342499]
[0.0026506769947435165, -0.0012152823079276051]
[0.0026528996668513474, -0.0012066519268727823]
[0.002655122255085798, -0.0011980254851359452]
[0.0026573447593754343, -0.0011894029836734188]
[0.002659567179648854, -0.0011807844234399366]
[0.00266178951583469, -0.0011721698053886404]
[0.0026640117678616146, -0.00116355913047108]
[0.002666233935658334, -0.0011549523996372136]
[0.002668456019153587, -0.001146349613835405]
[0.0026706780182761524, -0.0011377507740124248]
[0.0026728999329548413, -0.0011291558811134487]
[0.002675121763118501, -0.0011205649360820575]
[0.0026773435086960167, -0.0011119779398602366]
[0.002679565169616304, -0.0011033948933883754]
[0.0026817867458083207, -0.0010948157976052658]
[0.002684008237201054, -0.0010862406534481025]
[0.002686229643723531, -0.001077669461852483]
[0.002688450965304812, -0.0010691022237524057]
[0.0026906722018739957, -0.0010605389400802697]
[0.0026928933533602118, -0.0010519796117668741]
[0.0026951144196926294, -0.0010434242397414188]
[0.0026973354008004557, -0.001034872824931503]
[0.002699556296612926, -0.0010263253682631223]
[0.0027017771070593174, -0.0010177818706606726]
[0.0027039978320689416, -0.0010092423330469464]
[0.002706218471571145, -0.001000706756343133]
[0.0027084390254953085, -9.921751414688174E-4]
