[0.28212586724967975, -0.6165352932635647]
[0.2576476815961736, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
[0.257647681596174, -0.6193333939477275]
