[0.18850734272128827, 0.882529729999295]
[0.3999093367970812, 0.7230033966911403]
[0.6649585352408189, 0.4717015215567503]
[0.906109654144439, 0.2313374724636465]
[0.8942962616642542, 0.008159409095398765]
[0.7951496217124545, -0.18454086130812636]
[0.6352178394295587, -0.4173079641525549]
[0.41416575300529, -0.6390220229675146]
[0.19466119758948605, -0.7885109945058375]
[-0.005829733996112418, -0.8584816632867224]
[-0.1815391710726528, -0.8274272268311849]
[-0.40336123902049925, -0.6595350120754457]
[-0.663202321337404, -0.4614736283516618]
[-0.908176684046617, -0.22294765547859907]
[-0.894352316585072, -0.00569931198337514]
[-0.7945615679421774, 0.18566373220922663]
[-0.635867453360074, 0.42053712781047725]
[-0.41724219942905433, 0.6469692572226478]
[-0.19837380024488505, 0.8012026909252186]
[0.003654880559460144, 0.8748120952253577]
[0.18225787433306587, 0.8438459959553294]
[0.4064279954119183, 0.6714797805362311]
[0.6649585352408189, 0.4717015215567503]
[0.906109654144439, 0.2313374724636465]
[0.8942962616642542, 0.008159409095398765]
[0.7951496217124545, -0.18454086130812636]
[0.6352178394295587, -0.4173079641525549]
[0.41416575300529, -0.6390220229675146]
[0.19466119758948605, -0.7885109945058375]
[-0.005829733996112418, -0.8584816632867224]
[-0.1815391710726528, -0.8274272268311849]
[-0.40336123902049925, -0.6595350120754457]
[-0.663202321337404, -0.4614736283516618]
[-0.908176684046617, -0.22294765547859907]
[-0.894352316585072, -0.00569931198337514]
[-0.7945615679421774, 0.18566373220922663]
[-0.635867453360074, 0.42053712781047725]
[-0.41724219942905433, 0.6469692572226478]
[-0.19837380024488505, 0.8012026909252186]
[0.003654880559460144, 0.8748120952253577]
[0.18225787433306587, 0.8438459959553294]
[0.4064279954119183, 0.6714797805362311]
[0.6649585352408189, 0.4717015215567503]
[0.906109654144439, 0.2313374724636465]
[0.8942962616642542, 0.008159409095398765]
[0.7951496217124545, -0.18454086130812636]
[0.6352178394295587, -0.4173079641525549]
[0.41416575300529, -0.6390220229675146]
[0.19466119758948605, -0.7885109945058375]
[-0.005829733996112418, -0.8584816632867224]
[-0.1815391710726528, -0.8274272268311849]
[-0.40336123902049925, -0.6595350120754457]
[-0.663202321337404, -0.4614736283516618]
[-0.908176684046617, -0.22294765547859907]
[-0.894352316585072, -0.00569931198337514]
[-0.7945615679421774, 0.18566373220922663]
[-0.635867453360074, 0.42053712781047725]
[-0.41724219942905433, 0.6469692572226478]
[-0.19837380024488505, 0.8012026909252186]
[0.003654880559460144, 0.8748120952253577]
[0.18225787433306587, 0.8438459959553294]
[0.4064279954119183, 0.6714797805362311]
[0.6649585352408189, 0.4717015215567503]
[0.906109654144439, 0.2313374724636465]
[0.8942962616642542, 0.008159409095398765]
[0.7951496217124545, -0.18454086130812636]
[0.6352178394295587, -0.4173079641525549]
[0.41416575300529, -0.6390220229675146]
[0.19466119758948605, -0.7885109945058375]
[-0.005829733996112418, -0.8584816632867224]
[-0.1815391710726528, -0.8274272268311849]
[-0.40336123902049925, -0.6595350120754457]
[-0.663202321337404, -0.4614736283516618]
[-0.908176684046617, -0.22294765547859907]
[-0.894352316585072, -0.00569931198337514]
[-0.7945615679421774, 0.18566373220922663]
[-0.635867453360074, 0.42053712781047725]
[-0.41724219942905433, 0.6469692572226478]
[-0.19837380024488505, 0.8012026909252186]
[0.003654880559460144, 0.8748120952253577]
[0.18225787433306587, 0.8438459959553294]
[0.4064279954119183, 0.6714797805362311]
[0.6649585352408189, 0.4717015215567503]
[0.906109654144439, 0.2313374724636465]
[0.8942962616642542, 0.008159409095398765]
[0.7951496217124545, -0.18454086130812636]
[0.6352178394295587, -0.4173079641525549]
[0.41416575300529, -0.6390220229675146]
[0.19466119758948605, -0.7885109945058375]
[-0.005829733996112418, -0.8584816632867224]
[-0.1815391710726528, -0.8274272268311849]
[-0.40336123902049925, -0.6595350120754457]
[-0.663202321337404, -0.4614736283516618]
[-0.908176684046617, -0.22294765547859907]
[-0.894352316585072, -0.00569931198337514]
[-0.7945615679421774, 0.18566373220922663]
[-0.635867453360074, 0.42053712781047725]
[-0.41724219942905433, 0.6469692572226478]
[-0.19837380024488505, 0.8012026909252186]
[0.003654880559460144, 0.8748120952253577]
