[-0.32785498845243494, -0.6642008109038894]
[-0.29687153734049776, -0.6831885559952531]
[-0.2659872343646225, -0.7015374196447073]
[-0.23526706340370518, -0.7192238070276514]
[-0.20477509744993178, -0.7362278189075947]
[-0.1653494013619431, -0.7527917609509986]
[-0.13655438494602784, -0.7608135143881305]
[-0.10790162770756259, -0.7683465859519756]
[-0.07943066546656569, -0.7753837441322524]
[-0.0511790697013977, -0.7819189869617746]
[-0.023611912354580072, -0.7807410051895812]
[0.0039762320061636075, -0.7791284006578205]
[0.022368288765895902, -0.7778105482612641]
[0.04075240712402406, -0.7762978894404113]
[0.05912203960745076, -0.7745902041636524]
[0.07761061041951052, -0.7654036008689502]
[0.09603746863004788, -0.7633076471631242]
[0.1147784454961342, -0.753662058061894]
[0.12440956570741916, -0.7450165315038024]
[0.13368629904966323, -0.7437549138931997]
[0.1434477712302028, -0.7349450866423728]
[0.1532960345637655, -0.7260184922799827]
[0.16263959572002223, -0.7246208453018745]
[0.17260966340416425, -0.7155365288696134]
[0.1819757754779558, -0.7140501279904858]
[0.19206170297206682, -0.7048127575971597]
[0.2022246737413335, -0.6954667253001958]
[0.2116417439705463, -0.6938548597468561]
[0.2219098430172196, -0.6843646710320148]
[0.23224772933423216, -0.674772069786314]
[0.24265230855634856, -0.665079749369318]
[0.25213565621025613, -0.6633166133713801]
[0.2626282281115314, -0.6534949115232083]
[0.2731789896304277, -0.6435809911762382]
[0.2837843640388193, -0.6335780230457686]
[0.2944406455963457, -0.6234893051086352]
[0.305144004290314, -0.6133182581700507]
[0.3254623835625684, -0.6011007740001186]
[0.34581073317780076, -0.5887327873847338]
[0.3661734469438252, -0.5762281691056665]
[0.3865345399671239, -0.5636013231001176]
[0.40831756432388167, -0.5423987528300327]
[0.43013041157753334, -0.5210115422900571]
[0.4519352343782055, -0.49947439233172863]
[0.47369362528914405, -0.4778226212067983]
[0.49536691375415454, -0.45609188562460784]
[0.5261951077579547, -0.43221533744038687]
[0.5581024859421517, -0.39961646448538884]
[0.5894978446331335, -0.3671380816020332]
[0.6202615609834917, -0.33489182783305194]
[0.6514129446827415, -0.294112152741976]
[0.6814316831212748, -0.25376087833406735]
[0.7101784760763639, -0.21396815742927278]
[0.7375355983715842, -0.17484580426629073]
[0.7634080342018575, -0.13648635801833092]
[0.7798574084425757, -0.10841535789993245]
[0.7954938252157461, -0.08074503829276308]
[0.8103042237044509, -0.0534921368559248]
[0.8169772033481816, -0.026727613838483516]
[0.8235265855754689, -0.008944537495334942]
[0.8225621858160819, 0.008892965232940198]
[0.8213898254280728, 0.02683794966557773]
[0.8200118313034741, 0.04488455491851087]
[0.8192465301820708, 0.05394399685283002]
[0.8184308277142881, 0.06302641930430733]
[0.8175650976110987, 0.07213094916292156]
[0.8166497315051279, 0.08125668247627713]
[0.8156851387363383, 0.09040268470881976]
[0.8146717461191737, 0.09956799105755956]
[0.8063884762903515, 0.10947218654271984]
[0.8052850969288484, 0.11872124858992764]
[0.8041344042738319, 0.1279859560305976]
[0.7956591431487697, 0.13811404543929162]
[0.7944220314443088, 0.14745290705913544]
[0.7857997001593741, 0.15772902487816118]
[0.7844788952603653, 0.1671346515452546]
[0.7757131242720343, 0.1775477300473356]
[0.7743115441080967, 0.18701231107858346]
[0.7654062939556519, 0.19755068003994714]
[0.763927038340451, 0.2070660177742995]
[0.7548865871942023, 0.21771745673460316]
[0.7457469916250156, 0.22843202821407838]
[0.7441618551625759, 0.23802680162538323]
[0.7348944525929655, 0.248834004233836]
[0.7255324478079227, 0.25969192742881575]
[0.7238502357622109, 0.26934318676864516]
[0.7143685991289646, 0.2802722997562353]
[0.7047974226318605, 0.2912391934424168]
[0.6951387315579254, 0.3022389472217246]
[0.6933455900688414, 0.31193902104837207]
[0.6835796697198371, 0.32297943025764414]
[0.6737319700560271, 0.33403931249149393]
[0.6638047871544952, 0.34511363594829947]
[0.6518987925029379, 0.3659001737704562]
[0.6398598432320278, 0.38665293051411487]
[0.6276985938360609, 0.40734830342398654]
[0.6154258072422114, 0.4279630368597979]
[0.6030523122695184, 0.4484743442769752]
[0.5822257086921522, 0.4703380412674549]
[0.5611962134486869, 0.49203774753030394]
