[0.13948628817305275, 0.8515075441774245]
[0.28662041006735106, 0.7562176982844]
[0.48778705082135787, 0.5743272725788212]
[0.735956286016757, 0.34263964560099847]
[0.9253827112892977, 0.10954840236621063]
[0.9286178306952018, -0.02716239068744794]
[0.8171601733554694, -0.07740571413298021]
[0.7038534267672728, -0.15995862038839712]
[0.5742441672602281, -0.30177865276169047]
[0.43596354777708307, -0.483618317952747]
[0.23381295569809102, -0.7551219211622003]
[0.04715720413564772, -0.871794949379194]
[-0.1667576181569315, -0.7983753172019965]
[-0.39345721097354225, -0.6294494091427517]
[-0.636835683113206, -0.39972563442996323]
[-0.8156494210116424, -0.18942837980177113]
[-0.90409647597279, -0.030648280674248102]
[-0.8630289609487466, 0.07640461898092601]
[-0.7447349757757485, 0.151136542298476]
[-0.5722420548920385, 0.29749837041415983]
[-0.435155397836064, 0.4789063143702217]
[-0.22645028374047038, 0.7612575986529971]
[-0.036764853782191076, 0.8916540906581959]
[0.16875075738839634, 0.8211778485842625]
[0.3933376835973094, 0.6503915912537934]
[0.6031825036242258, 0.4579022897034941]
[0.8304292657355514, 0.2377577349204286]
[0.9645265684257313, 0.03429543348977021]
[0.914954238590062, -0.08152457226063861]
[0.7504370151165013, -0.15076384776922025]
[0.628605259467012, -0.2772661429198447]
[0.43596354777708307, -0.483618317952747]
[0.23381295569809102, -0.7551219211622003]
[0.04715720413564772, -0.871794949379194]
[-0.1667576181569315, -0.7983753172019965]
[-0.39345721097354225, -0.6294494091427517]
[-0.636835683113206, -0.39972563442996323]
[-0.8156494210116424, -0.18942837980177113]
[-0.90409647597279, -0.030648280674248102]
[-0.8630289609487466, 0.07640461898092601]
[-0.7447349757757485, 0.151136542298476]
[-0.5722420548920385, 0.29749837041415983]
[-0.435155397836064, 0.4789063143702217]
[-0.22645028374047038, 0.7612575986529971]
[-0.036764853782191076, 0.8916540906581959]
[0.16875075738839634, 0.8211778485842625]
[0.3933376835973094, 0.6503915912537934]
[0.6031825036242258, 0.4579022897034941]
[0.8304292657355514, 0.2377577349204286]
[0.9645265684257313, 0.03429543348977021]
[0.914954238590062, -0.08152457226063861]
[0.7504370151165013, -0.15076384776922025]
[0.628605259467012, -0.2772661429198447]
[0.43596354777708307, -0.483618317952747]
[0.23381295569809102, -0.7551219211622003]
[0.04715720413564772, -0.871794949379194]
[-0.1667576181569315, -0.7983753172019965]
[-0.39345721097354225, -0.6294494091427517]
[-0.636835683113206, -0.39972563442996323]
[-0.8156494210116424, -0.18942837980177113]
[-0.90409647597279, -0.030648280674248102]
[-0.8630289609487466, 0.07640461898092601]
[-0.7447349757757485, 0.151136542298476]
[-0.5722420548920385, 0.29749837041415983]
[-0.435155397836064, 0.4789063143702217]
[-0.22645028374047038, 0.7612575986529971]
[-0.036764853782191076, 0.8916540906581959]
[0.16875075738839634, 0.8211778485842625]
[0.3933376835973094, 0.6503915912537934]
[0.6031825036242258, 0.4579022897034941]
[0.8304292657355514, 0.2377577349204286]
[0.9645265684257313, 0.03429543348977021]
[0.914954238590062, -0.08152457226063861]
[0.7504370151165013, -0.15076384776922025]
[0.628605259467012, -0.2772661429198447]
[0.43596354777708307, -0.483618317952747]
[0.23381295569809102, -0.7551219211622003]
[0.04715720413564772, -0.871794949379194]
[-0.1667576181569315, -0.7983753172019965]
[-0.39345721097354225, -0.6294494091427517]
[-0.636835683113206, -0.39972563442996323]
[-0.8156494210116424, -0.18942837980177113]
[-0.90409647597279, -0.030648280674248102]
[-0.8630289609487466, 0.07640461898092601]
[-0.7447349757757485, 0.151136542298476]
[-0.5722420548920385, 0.29749837041415983]
[-0.435155397836064, 0.4789063143702217]
[-0.22645028374047038, 0.7612575986529971]
[-0.036764853782191076, 0.8916540906581959]
[0.16875075738839634, 0.8211778485842625]
[0.3933376835973094, 0.6503915912537934]
[0.6031825036242258, 0.4579022897034941]
[0.8304292657355514, 0.2377577349204286]
[0.9645265684257313, 0.03429543348977021]
[0.914954238590062, -0.08152457226063861]
[0.7504370151165013, -0.15076384776922025]
[0.628605259467012, -0.2772661429198447]
[0.43596354777708307, -0.483618317952747]
[0.23381295569809102, -0.7551219211622003]
[0.04715720413564772, -0.871794949379194]
